<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.27	352.29	354.99	347.00	354.40	12651	0	26
2021.09.28	346.88	349.24	338.83	341.23	18461	0	26
2021.09.29	343.84	345.10	339.01	340.91	14439	0	26
2021.09.30	341.36	342.66	338.07	340.40	15695	0	26
2021.10.01	337.21	344.85	336.82	343.62	15201	0	26
2021.10.04	340.20	340.52	322.60	325.38	23012	0	26
2021.10.05	330.64	335.00	326.09	333.58	18591	0	26
2021.10.06	327.09	334.23	325.69	332.13	17766	0	26
2021.10.07	335.61	338.68	329.91	329.91	12013	0	26
2021.10.08	328.83	333.27	328.52	330.22	11731	0	26
2021.10.11	328.97	330.32	325.47	326.09	10686	0	26
2021.10.12	325.91	326.06	317.27	322.77	14655	0	26
2021.10.13	324.91	326.86	322.57	323.61	10937	0	26
2021.10.14	326.87	329.81	326.59	328.38	7668	0	14
2021.10.15	328.51	330.41	322.43	324.24	9300	0	14
2021.10.18	324.06	335.74	323.30	335.09	12596	0	14
2021.10.19	336.99	342.31	336.71	339.28	10873	0	14
2021.10.20	341.55	343.54	339.36	340.47	9484	0	14
2021.10.21	340.16	342.16	337.69	341.49	7492	0	26
2021.10.22	327.49	330.42	321.01	322.36	16160	0	26
2021.10.25	323.46	329.41	318.92	328.28	12936	0	26
2021.10.26	338.06	338.22	309.53	316.69	25843	0	26
2021.10.27	313.90	319.08	312.00	314.02	14091	0	14
2021.10.28	314.57	325.35	308.06	320.16	18838	0	26
2021.10.29	320.77	325.74	318.50	322.54	13500	0	14
2021.11.01	327.01	333.31	325.15	329.88	13480	0	26
2021.11.02	330.15	334.63	323.73	327.86	12601	0	26
2021.11.03	328.06	331.66	323.13	331.23	11722	0	26
2021.11.04	333.31	337.12	332.13	335.00	11338	0	26
2021.11.05	339.35	346.60	337.72	341.00	13532	0	26
2021.11.08	344.47	345.78	339.02	339.42	9270	0	26
2021.11.09	338.29	341.16	334.46	335.90	11820	0	26
2021.11.10	332.21	333.32	325.39	327.53	11833	0	26
2021.11.11	330.15	332.26	327.71	327.90	8896	0	14
2021.11.12	329.11	341.67	328.28	339.94	11547	0	26
2021.11.15	342.85	353.46	342.13	347.90	13198	0	26
2021.11.16	346.83	347.79	340.54	345.10	10554	0	14
2021.11.17	343.20	346.85	340.08	341.36	9415	0	26
2021.11.18	342.49	342.49	335.90	338.69	12470	0	26
2021.11.19	340.08	351.94	339.41	344.87	13551	0	26
2021.11.22	346.70	353.67	340.45	343.89	17129	0	26
2021.11.23	338.60	341.26	333.38	337.06	18253	0	26
2021.11.24	335.67	341.59	332.60	341.04	12513	0	26
2021.11.26	335.04	337.38	331.80	334.45	8720	0	26
2021.11.29	336.85	340.49	335.21	340.14	11139	0	26
2021.11.30	334.78	336.50	325.70	326.70	17741	0	26
2021.12.01	329.27	330.96	311.45	313.64	17675	0	26
2021.12.02	314.17	314.43	307.11	310.78	20086	0	26
2021.12.03	310.05	313.82	299.40	304.29	21250	0	26
2021.12.06	304.37	319.94	304.25	318.27	17485	0	26
2021.12.07	322.75	326.39	320.72	322.54	11351	0	26
