<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.07.14	22:30:00	1.14074	1.14111	1.14048	1.14077	1064	0	0
2020.07.14	23:00:00	1.14085	1.14104	1.14069	1.14092	294	0	0
2020.07.14	23:30:00	1.14092	1.14100	1.14046	1.14098	242	0	0
2020.07.15	00:00:00	1.14097	1.14226	1.14089	1.14125	710	0	0
2020.07.15	00:30:00	1.14126	1.14145	1.14094	1.14125	528	0	0
2020.07.15	01:00:00	1.14125	1.14186	1.14092	1.14183	546	0	0
2020.07.15	01:30:00	1.14182	1.14206	1.14090	1.14114	728	0	0
2020.07.15	02:00:00	1.14113	1.14113	1.14050	1.14084	503	0	0
2020.07.15	02:30:00	1.14084	1.14091	1.13997	1.14023	520	0	0
2020.07.15	03:00:00	1.14022	1.14040	1.13971	1.13976	448	0	0
2020.07.15	03:30:00	1.13976	1.13985	1.13949	1.13973	382	0	0
2020.07.15	04:00:00	1.13973	1.13986	1.13942	1.13978	299	0	0
2020.07.15	04:30:00	1.13978	1.14009	1.13936	1.13947	367	0	0
2020.07.15	05:00:00	1.13947	1.13968	1.13907	1.13942	353	0	0
2020.07.15	05:30:00	1.13942	1.13994	1.13935	1.13992	387	0	0
2020.07.15	06:00:00	1.13993	1.14091	1.13954	1.14064	696	0	0
2020.07.15	06:30:00	1.14065	1.14133	1.14038	1.14050	560	0	0
2020.07.15	07:00:00	1.14051	1.14126	1.13983	1.14073	1132	0	0
2020.07.15	07:30:00	1.14073	1.14370	1.14073	1.14323	1221	0	0
2020.07.15	08:00:00	1.14324	1.14441	1.14324	1.14423	950	0	0
2020.07.15	08:30:00	1.14422	1.14437	1.14301	1.14367	886	0	0
2020.07.15	09:00:00	1.14366	1.14370	1.14262	1.14294	724	0	0
2020.07.15	09:30:00	1.14294	1.14330	1.14252	1.14267	788	0	0
2020.07.15	10:00:00	1.14266	1.14370	1.14261	1.14315	720	0	0
2020.07.15	10:30:00	1.14314	1.14471	1.14301	1.14404	879	0	0
2020.07.15	11:00:00	1.14405	1.14458	1.14331	1.14399	909	0	0
2020.07.15	11:30:00	1.14399	1.14441	1.14376	1.14377	745	0	0
2020.07.15	12:00:00	1.14376	1.14452	1.14366	1.14417	690	0	0
2020.07.15	12:30:00	1.14417	1.14441	1.14345	1.14346	633	0	0
2020.07.15	13:00:00	1.14346	1.14443	1.14346	1.14432	829	0	0
2020.07.15	13:30:00	1.14433	1.14514	1.14256	1.14270	1369	0	0
2020.07.15	14:00:00	1.14271	1.14279	1.14099	1.14216	1519	0	0
2020.07.15	14:30:00	1.14215	1.14273	1.14133	1.14173	1187	0	0
2020.07.15	15:00:00	1.14173	1.14237	1.14138	1.14205	903	0	0
2020.07.15	15:30:00	1.14206	1.14231	1.14053	1.14053	898	0	0
2020.07.15	16:00:00	1.14053	1.14094	1.14021	1.14062	694	0	0
2020.07.15	16:30:00	1.14062	1.14070	1.14011	1.14068	524	0	0
2020.07.15	17:00:00	1.14068	1.14089	1.14030	1.14058	518	0	0
2020.07.15	17:30:00	1.14058	1.14096	1.14030	1.14053	467	0	0
2020.07.15	18:00:00	1.14053	1.14069	1.14032	1.14060	533	0	0
2020.07.15	18:30:00	1.14060	1.14091	1.14049	1.14054	453	0	0
2020.07.15	19:00:00	1.14053	1.14073	1.14024	1.14071	413	0	0
2020.07.15	19:30:00	1.14070	1.14113	1.14061	1.14087	372	0	0
2020.07.15	20:00:00	1.14088	1.14125	1.14075	1.14117	206	0	0
2020.07.15	20:30:00	1.14116	1.14120	1.14091	1.14113	198	0	0
2020.07.15	21:00:00	1.14106	1.14108	1.14059	1.14089	240	0	0
2020.07.15	21:30:00	1.14090	1.14094	1.14051	1.14094	254	0	0
2020.07.15	22:00:00	1.14093	1.14132	1.14090	1.14117	473	0	0
2020.07.15	22:30:00	1.14117	1.14124	1.14087	1.14106	878	0	0
2020.07.15	23:00:00	1.14113	1.14155	1.14113	1.14149	191	0	0
2020.07.15	23:30:00	1.14148	1.14175	1.14145	1.14165	174	0	0
2020.07.16	00:00:00	1.14165	1.14167	1.14090	1.14163	546	0	0
2020.07.16	00:30:00	1.14164	1.14182	1.14137	1.14143	464	0	0
2020.07.16	01:00:00	1.14143	1.14153	1.14097	1.14128	524	0	0
2020.07.16	01:30:00	1.14128	1.14162	1.14089	1.14135	596	0	0
2020.07.16	02:00:00	1.14135	1.14160	1.14022	1.14031	536	0	0
2020.07.16	02:30:00	1.14030	1.14043	1.13999	1.14028	499	0	0
2020.07.16	03:00:00	1.14028	1.14055	1.14015	1.14048	323	0	0
2020.07.16	03:30:00	1.14048	1.14068	1.14034	1.14050	328	0	0
2020.07.16	04:00:00	1.14050	1.14052	1.14026	1.14043	246	0	0
2020.07.16	04:30:00	1.14043	1.14069	1.14028	1.14055	218	0	0
2020.07.16	05:00:00	1.14056	1.14065	1.13976	1.13994	352	0	0
2020.07.16	05:30:00	1.13993	1.14031	1.13969	1.14028	373	0	0
2020.07.16	06:00:00	1.14027	1.14067	1.13924	1.13951	703	0	0
2020.07.16	06:30:00	1.13951	1.14025	1.13933	1.13973	670	0	0
2020.07.16	07:00:00	1.13974	1.14043	1.13962	1.14027	920	0	0
2020.07.16	07:30:00	1.14026	1.14102	1.13986	1.14071	885	0	0
2020.07.16	08:00:00	1.14072	1.14151	1.14052	1.14054	827	0	0
2020.07.16	08:30:00	1.14053	1.14059	1.13852	1.13927	917	0	0
2020.07.16	09:00:00	1.13926	1.13994	1.13917	1.13942	674	0	0
2020.07.16	09:30:00	1.13942	1.13974	1.13806	1.13806	766	0	0
2020.07.16	10:00:00	1.13806	1.13886	1.13779	1.13832	730	0	0
2020.07.16	10:30:00	1.13832	1.13947	1.13826	1.13947	588	0	0
2020.07.16	11:00:00	1.13946	1.14051	1.13939	1.14041	657	0	0
2020.07.16	11:30:00	1.14041	1.14170	1.13967	1.14128	1292	0	0
2020.07.16	12:00:00	1.14129	1.14166	1.14092	1.14134	912	0	0
2020.07.16	12:30:00	1.14133	1.14243	1.14053	1.14106	1751	0	0
2020.07.16	13:00:00	1.14105	1.14169	1.13992	1.14122	1404	0	0
2020.07.16	13:30:00	1.14121	1.14339	1.14089	1.14284	1255	0	0
2020.07.16	14:00:00	1.14285	1.14400	1.14237	1.14373	1323	0	0
2020.07.16	14:30:00	1.14373	1.14413	1.14296	1.14320	1060	0	0
2020.07.16	15:00:00	1.14320	1.14332	1.14211	1.14288	856	0	0
2020.07.16	15:30:00	1.14289	1.14338	1.14266	1.14316	772	0	0
2020.07.16	16:00:00	1.14316	1.14352	1.14188	1.14191	637	0	0
2020.07.16	16:30:00	1.14192	1.14204	1.14082	1.14089	580	0	0
2020.07.16	17:00:00	1.14088	1.14096	1.13882	1.13912	799	0	0
2020.07.16	17:30:00	1.13910	1.13910	1.13768	1.13823	988	0	0
2020.07.16	18:00:00	1.13822	1.13831	1.13749	1.13803	640	0	0
2020.07.16	18:30:00	1.13803	1.13827	1.13760	1.13785	568	0	0
2020.07.16	19:00:00	1.13784	1.13833	1.13701	1.13833	600	0	0
2020.07.16	19:30:00	1.13834	1.13834	1.13763	1.13819	619	0	0
2020.07.16	20:00:00	1.13818	1.13829	1.13785	1.13829	310	0	0
2020.07.16	20:30:00	1.13829	1.13846	1.13809	1.13831	294	0	0
2020.07.16	21:00:00	1.13805	1.13817	1.13735	1.13756	382	0	0
2020.07.16	21:30:00	1.13767	1.13796	1.13735	1.13779	438	0	0
2020.07.16	22:00:00	1.13774	1.13820	1.13763	1.13792	299	0	0
2020.07.16	22:30:00	1.13792	1.13836	1.13790	1.13818	844	0	0
2020.07.16	23:00:00	1.13844	1.13854	1.13832	1.13849	182	0	0
2020.07.16	23:30:00	1.13849	1.13884	1.13845	1.13875	166	0	0
2020.07.17	00:00:00	1.13875	1.13927	1.13840	1.13902	420	0	0
2020.07.17	00:30:00	1.13902	1.13913	1.13822	1.13842	454	0	0
