<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.04	149.53	152.87	147.18	149.31	45081	0	0
2021.03.05	148.61	150.74	144.03	149.95	39804	0	0
2021.03.08	147.81	153.16	147.69	148.90	34001	0	0
2021.03.09	150.49	154.50	149.77	153.85	24042	0	0
2021.03.10	153.03	155.69	151.48	152.99	27634	0	0
2021.03.11	155.45	156.51	154.11	155.78	19352	0	0
2021.03.12	152.94	154.90	152.25	154.58	20324	0	0
2021.03.15	154.66	155.02	151.62	153.33	18183	0	0
2021.03.16	154.27	156.39	153.83	154.61	17304	0	0
2021.03.17	154.12	158.61	152.62	157.47	23332	0	0
2021.03.18	155.37	155.97	151.65	151.68	24100	0	0
2021.03.19	152.39	153.17	150.78	152.91	23071	0	0
2021.03.22	154.09	156.28	152.98	156.05	15236	0	0
2021.03.23	155.13	159.07	155.02	157.30	23853	0	0
2021.03.24	158.26	158.37	154.76	154.81	22473	0	0
2021.03.25	154.36	155.42	151.84	152.78	27486	0	0
2021.03.26	152.94	153.09	149.78	151.74	23388	0	0
2021.03.29	152.16	154.50	151.40	153.76	21310	0	0
2021.03.30	152.99	153.59	151.66	153.00	17261	0	0
2021.03.31	152.60	155.91	152.59	154.87	14047	0	0
2021.04.01	155.48	157.82	155.48	157.76	15401	0	0
2021.04.05	158.17	161.39	157.76	161.26	16325	0	0
2021.04.06	160.50	162.32	160.29	161.37	15373	0	0
2021.04.07	160.95	165.14	160.84	164.16	14743	0	0
2021.04.08	165.09	166.14	164.91	165.19	16497	0	0
2021.04.09	164.62	168.31	164.18	168.12	18210	0	0
2021.04.12	167.96	169.73	167.53	169.05	17402	0	0
2021.04.13	169.28	171.55	169.03	170.06	16072	0	0
2021.04.14	170.10	170.57	166.27	166.49	19717	0	0
2021.04.15	167.57	169.75	167.38	169.08	16837	0	0
2021.04.16	168.62	170.28	167.75	170.02	15338	0	0
2021.04.19	169.59	171.76	167.97	168.30	19193	0	0
2021.04.20	168.21	169.04	165.79	167.09	19563	0	0
2021.04.21	165.92	167.90	165.19	167.82	16236	0	0
2021.04.22	168.03	168.75	165.05	165.21	20629	0	0
2021.04.23	165.75	168.70	165.40	167.89	14997	0	0
2021.04.26	166.73	171.37	166.51	171.27	21613	0	0
2021.04.27	171.56	172.95	169.87	171.15	18870	0	0
2021.04.28	170.79	174.45	170.72	173.63	23886	0	0
2021.04.29	174.92	175.62	171.73	173.37	26009	0	0
2021.04.30	177.08	178.22	173.51	173.66	30165	0	0
2021.05.03	173.50	174.20	168.59	168.79	26727	0	0
2021.05.04	168.87	169.08	163.59	164.87	33933	0	0
2021.05.05	166.61	167.72	163.21	164.09	22965	0	0
2021.05.06	163.69	165.67	162.27	164.59	28215	0	0
2021.05.07	165.97	167.97	164.47	164.59	24912	0	0
2021.05.10	164.19	164.28	159.76	160.28	27078	0	0
2021.05.11	156.94	161.86	155.84	160.80	35668	0	0
2021.05.12	160.69	161.02	156.65	157.80	36392	0	0
2021.05.13	157.36	160.03	156.63	158.44	32322	0	0
2021.05.14	159.50	161.20	159.06	160.88	19291	0	0
2021.05.17	161.23	164.55	161.11	163.30	25995	0	0
2021.05.18	164.67	165.53	162.17	162.46	24838	0	0
2021.05.19	159.77	161.56	159.12	160.88	28717	0	0
2021.05.20	161.07	162.94	161.07	162.42	20277	0	0
2021.05.21	162.57	163.02	159.91	160.13	27546	0	0
2021.05.24	160.87	162.85	160.45	162.59	14154	0	0
2021.05.25	163.26	163.92	160.66	163.02	22073	0	0
2021.05.26	163.23	164.74	162.89	163.08	15545	0	0
2021.05.27	162.63	163.30	161.68	161.87	15811	0	0
2021.05.28	162.13	162.37	161.15	161.19	12722	0	0
2021.06.01	161.92	162.50	160.43	161.00	15464	0	0
2021.06.02	160.66	161.72	160.35	161.19	14264	0	0
2021.06.03	161.06	161.07	159.23	159.37	22281	0	0
2021.06.04	159.60	161.03	158.49	160.37	15427	0	0
2021.06.07	159.53	160.49	158.60	159.49	15435	0	0
2021.06.08	160.35	163.93	159.30	163.41	17515	0	0
2021.06.09	163.39	164.81	163.35	163.95	13862	0	0
2021.06.10	163.41	166.82	163.14	166.71	18845	0	0
2021.06.11	167.32	168.29	166.64	167.14	15213	0	0
2021.06.14	167.75	168.82	166.76	168.38	12175	0	0
2021.06.15	168.80	169.79	168.14	169.29	14199	0	0
2021.06.16	168.81	171.29	168.09	170.96	25430	0	0
2021.06.17	170.10	174.82	169.77	174.55	22142	0	0
2021.06.18	174.39	175.32	173.10	175.05	22410	0	0
2021.06.21	174.63	174.74	171.66	172.59	19359	0	0
2021.06.22	171.69	176.14	171.64	175.64	16215	0	0
2021.06.23	175.33	175.95	174.13	174.84	14079	0	0
2021.06.24	175.64	176.14	171.52	172.34	16529	0	0
2021.06.25	172.95	173.23	169.72	170.10	16607	0	0
2021.06.28	170.79	172.35	170.54	172.26	13153	0	0
2021.06.29	172.22	172.75	171.13	172.40	12351	0	0
2021.06.30	171.79	173.55	171.68	172.29	13678	0	0
2021.07.01	172.17	172.81	170.45	171.42	13581	0	0
2021.07.02	171.67	175.17	171.67	175.00	14407	0	0
2021.07.06	175.75	184.24	175.72	184.03	29841	0	0
2021.07.07	185.03	186.67	183.90	184.95	28775	0	0
2021.07.08	181.64	187.92	181.04	187.04	27760	0	0
2021.07.09	186.36	187.23	184.65	185.48	20689	0	0
2021.07.12	186.47	187.75	184.80	185.66	16426	0	0
2021.07.13	186.28	188.60	183.76	184.33	21599	0	0
2021.07.14	185.04	185.87	183.03	184.24	20598	0	0
