<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.04.13	1.08257	1.08968	1.08085	1.08946	31335	0	0
2022.04.14	1.08948	1.09228	1.07570	1.08199	41578	0	0
2022.04.15	1.08198	1.08221	1.07952	1.08095	12324	0	0
2022.04.17	1.08045	1.08212	1.08026	1.08136	2401	0	0
2022.04.18	1.08138	1.08156	1.07695	1.07797	23215	0	0
2022.04.19	1.07797	1.08140	1.07608	1.07937	32604	0	0
2022.04.20	1.07939	1.08663	1.07837	1.08491	34396	0	0
2022.04.21	1.08491	1.09343	1.08233	1.08346	40177	0	0
2022.04.22	1.08348	1.08511	1.07702	1.07980	34276	0	0
2022.04.24	1.08031	1.08143	1.07955	1.08091	3214	0	0
2022.04.25	1.08093	1.08117	1.06954	1.07121	44851	0	0
2022.04.26	1.07122	1.07381	1.06335	1.06420	37235	0	0
2022.04.27	1.06422	1.06544	1.05141	1.05540	44543	0	0
2022.04.28	1.05538	1.05643	1.04709	1.05026	51045	0	0
2022.04.29	1.05027	1.05926	1.05017	1.05447	44167	0	0
2022.05.01	1.05474	1.05508	1.05341	1.05346	3241	0	0
2022.05.02	1.05346	1.05681	1.04901	1.05091	35244	0	0
2022.05.03	1.05094	1.05773	1.04919	1.05249	37016	0	0
2022.05.04	1.05247	1.06305	1.05050	1.06202	46993	0	0
2022.05.05	1.06202	1.06406	1.04923	1.05392	50394	0	0
2022.05.06	1.05394	1.05983	1.04816	1.05456	55932	0	0
2022.05.08	1.05417	1.05420	1.05305	1.05321	2182	0	0
