<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.06	08:00:00	91.32	91.43	91.25	91.35	219	0	7
2022.12.06	12:00:00	91.36	91.51	88.63	88.89	18362	0	4
2022.12.06	16:00:00	88.90	89.58	87.91	88.42	14369	0	4
2022.12.06	20:00:00	88.43	88.70	88.09	88.34	2322	0	4
2022.12.07	08:00:00	88.41	88.50	87.63	88.00	612	0	4
2022.12.07	12:00:00	88.01	89.87	87.43	88.87	25430	0	4
2022.12.07	16:00:00	88.87	89.03	87.58	88.36	16432	0	4
2022.12.07	20:00:00	88.36	88.58	88.09	88.34	2256	0	4
2022.12.08	08:00:00	89.04	89.14	88.88	89.04	164	0	16
2022.12.08	12:00:00	89.07	90.83	87.86	90.07	17932	0	4
2022.12.08	16:00:00	90.08	90.51	89.26	90.33	16312	0	4
2022.12.08	20:00:00	90.33	90.83	90.12	90.38	2197	0	4
2022.12.09	08:00:00	91.15	91.33	90.58	90.65	354	0	16
2022.12.09	12:00:00	90.65	90.79	87.99	89.87	22916	0	4
2022.12.09	16:00:00	89.87	89.94	88.92	89.51	11871	0	4
2022.12.09	20:00:00	89.51	89.72	89.13	89.16	1731	0	4
2022.12.12	12:00:00	89.28	89.45	87.85	88.23	14265	0	4
2022.12.12	16:00:00	88.23	89.58	88.14	89.54	11370	0	4
2022.12.12	20:00:00	89.55	90.33	89.49	90.07	2371	0	4
2022.12.13	08:00:00	90.84	90.97	90.79	90.87	154	0	16
2022.12.13	12:00:00	90.87	96.21	90.78	93.42	40120	0	4
2022.12.13	16:00:00	93.42	93.98	90.50	92.85	30351	0	4
2022.12.13	20:00:00	92.84	92.88	92.10	92.74	4873	0	4
2022.12.14	08:00:00	92.37	92.59	92.17	92.48	546	0	7
2022.12.14	12:00:00	92.43	93.34	92.26	93.04	13039	0	4
2022.12.14	16:00:00	93.03	93.43	90.16	91.12	39114	0	4
2022.12.14	20:00:00	91.12	92.61	90.79	91.32	13849	0	4
2022.12.15	08:00:00	89.88	90.20	89.88	90.18	176	0	32
2022.12.15	12:00:00	90.18	90.40	88.30	88.36	18446	0	4
2022.12.15	16:00:00	88.36	88.50	87.44	88.22	15300	0	4
2022.12.15	20:00:00	88.21	88.48	87.94	87.98	3618	0	4
2022.12.16	08:00:00	87.46	87.77	87.35	87.70	393	0	16
2022.12.16	12:00:00	87.70	89.32	87.49	87.91	16993	0	4
2022.12.16	16:00:00	87.92	87.97	86.71	87.04	12783	0	4
2022.12.16	20:00:00	87.03	87.72	86.83	87.60	3083	0	4
2022.12.19	08:00:00	88.11	88.24	87.99	88.01	187	0	16
2022.12.19	12:00:00	88.01	88.36	85.90	85.92	13595	0	4
2022.12.19	16:00:00	85.93	85.93	84.57	84.62	11752	0	4
2022.12.19	20:00:00	84.62	84.88	84.49	84.58	2381	0	4
2022.12.20	08:00:00	84.60	84.89	84.57	84.75	374	0	7
2022.12.20	12:00:00	84.80	86.58	84.30	85.63	19006	0	4
2022.12.20	16:00:00	85.62	85.94	84.47	85.23	17462	0	4
2022.12.20	20:00:00	85.23	85.32	84.98	85.18	2411	0	4
2022.12.21	08:00:00	86.06	86.17	85.98	86.14	303	0	4
2022.12.21	12:00:00	86.15	86.89	85.19	86.77	16038	0	4
2022.12.21	16:00:00	86.77	87.20	86.29	86.77	10277	0	4
2022.12.21	20:00:00	86.78	86.98	86.66	86.79	2021	0	4
2022.12.22	08:00:00	86.88	86.89	86.54	86.61	176	0	4
